chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
16.9292,1.6929,24.420531,7.341750,1.795935e-03,5.9737,0,,3.281883e+00,3.113961e+00,2.966660e+00,2.842148e+00,2.798688e+00,2.769196e+00,2.245226e+00,2.070879e+00,4.369112e-01,3.735805e-01,3.226062e-01,2.420847e-02
16.9466,1.6947,28.117687,6.575951,1.491405e-03,6.3770,0,,3.736362e+00,3.404773e+00,3.227310e+00,3.153652e+00,3.151985e+00,3.165643e+00,2.177326e+00,1.966073e+00,3.489920e-01,2.958413e-01,2.536392e-01,1.796377e-02
16.9758,1.6976,42.919343,2.185488,8.834365e-05,1.7349,0,,4.722980e+00,3.134276e+00,2.461386e+00,1.932505e+00,1.718727e+00,1.533814e+00,1.315458e-01,1.055792e-01,8.191545e-03,6.751645e-03,5.632474e-03,3.435779e-04
16.9862,1.6986,86.851137,3.041385,2.205508e-04,6.2981,0,,4.876444e+00,3.847933e+00,3.058632e+00,2.450609e+00,2.205478e+00,1.992372e+00,2.043979e-01,1.649023e-01,1.293175e-02,1.062707e-02,8.905912e-03,5.460264e-04
17.0126,1.7013,86.851137,1.570455,3.864076e-05,2.1370,0,,3.811361e+00,1.304423e+00,8.179253e-01,5.542153e-01,4.667306e-01,3.980205e-01,2.445287e-02,1.938376e-02,1.422926e-03,1.171706e-03,9.791063e-04,6.196763e-05
17.0505,1.7050,100.000000,1.259921,2.650844e-05,2.1040,0,,3.591616e+00,9.445546e-01,5.651539e-01,3.731730e-01,3.115518e-01,2.638159e-01,1.530504e-02,1.213197e-02,8.898486e-04,7.333760e-04,6.136063e-04,3.480005e-05
17.0714,1.7071,100.000000,0.418729,6.179625e-06,1.4758,0,,3.091510e+00,5.316676e-01,2.994945e-01,1.909296e-01,1.573496e-01,1.318101e-01,7.063716e-03,5.605561e-03,4.276609e-04,3.532405e-04,2.963502e-04,6.907019e-06
17.0762,1.7076,100.000000,0.726337,1.191518e-05,1.6404,0,,3.266402e+00,6.375328e-01,3.659825e-01,2.362017e-01,1.956622e-01,1.644591e-01,8.976281e-03,7.125293e-03,5.315656e-04,4.388757e-04,3.680139e-04,1.453195e-05
17.0839,1.7084,18.420700,3.041385,2.205784e-04,1.3360,0,,5.115880e+00,4.413084e+00,3.975223e+00,3.622940e+00,3.471839e+00,3.332266e+00,7.887991e-01,6.571819e-01,6.253589e-02,5.182541e-02,4.365012e-02,2.723236e-03
17.1057,1.7106,65.512856,1.259921,2.529644e-05,1.3154,0,,3.765647e+00,1.196929e+00,7.396419e-01,4.970756e-01,4.174528e-01,3.552247e-01,2.153835e-02,1.714153e-02,1.256303e-03,1.033239e-03,8.667985e-04,5.464520e-05
17.1106,1.7111,42.919343,6.575951,1.894213e-03,12.3630,0,,3.829814e+00,3.461946e+00,3.737079e+00,4.026805e+00,4.126371e+00,4.191226e+00,2.064643e+00,1.854198e+00,3.549763e-01,3.026439e-01,2.607108e-01,1.878403e-02
17.1396,1.7140,32.374575,4.725367,7.013080e-04,4.8048,0,,4.835527e+00,4.154130e+00,4.067077e+00,4.069017e+00,4.063283e+00,4.044257e+00,1.477315e+00,1.268862e+00,1.456350e-01,1.212077e-01,1.024120e-01,6.504287e-03
17.1729,1.7173,37.275937,4.725367,7.340797e-04,5.7908,0,,4.836253e+00,4.223652e+00,4.286174e+00,4.336049e+00,4.324210e+00,4.287354e+00,1.422607e+00,1.219235e+00,1.387428e-01,1.154672e-01,9.741747e-02,6.145626e-03
17.1797,1.7180,37.275937,1.957525,6.843346e-05,1.3031,0,,4.688359e+00,2.899652e+00,2.236453e+00,1.735123e+00,1.536084e+00,1.365406e+00,1.135064e-01,9.107445e-02,7.055069e-03,5.807720e-03,4.870060e-03,2.965691e-04
17.2235,1.7223,65.512856,3.395568,3.254226e-04,6.2786,0,,5.003103e+00,4.958770e+00,4.355926e+00,3.738497e+00,3.458092e+00,3.200595e+00,4.428366e-01,3.617019e-01,3.044677e-02,2.509584e-02,2.097569e-02,1.281513e-03
17.2363,1.7236,49.417134,4.232476,5.958832e-04,6.9574,0,,4.916237e+00,4.914130e+00,4.953242e+00,4.742912e+00,4.586782e+00,4.414627e+00,1.026220e+00,8.640145e-01,8.712065e-02,7.216820e-02,6.070275e-02,3.746315e-03
17.2454,1.7245,100.000000,1.259921,2.675698e-05,2.1237,0,,3.648100e+00,9.614678e-01,5.754823e-01,3.800655e-01,3.173258e-01,2.687182e-01,1.559324e-02,1.236045e-02,9.066134e-04,7.471928e-04,6.251666e-04,3.545567e-05
17.2582,1.7258,100.000000,0.269506,3.879629e-06,1.4395,0,,3.095505e+00,5.063500e-01,2.822907e-01,1.787719e-01,1.474442e-01,1.230917e-01,6.618531e-03,5.258368e-03,3.609848e-04,2.828042e-04,2.249199e-04,3.430320e-06
17.2631,1.7263,100.000000,0.418729,6.256999e-06,1.4943,0,,3.167770e+00,5.450239e-01,3.070296e-01,1.957364e-01,1.613119e-01,1.351297e-01,7.241713e-03,5.746814e-03,4.384372e-04,3.621416e-04,3.038177e-04,7.081064e-06
17.2687,1.7269,100.000000,0.905358,1.620355e-05,1.7897,0,,3.446266e+00,7.377612e-01,4.285215e-01,2.785036e-01,2.312838e-01,1.949361e-01,1.084824e-02,8.563714e-03,6.368552e-04,5.247073e-04,4.401083e-04,2.056269e-05
17.2728,1.7273,75.431201,1.570455,3.904171e-05,1.8752,0,,3.957781e+00,1.463862e+00,9.322510e-01,6.372607e-01,5.382859e-01,4.601525e-01,2.879733e-02,2.286748e-02,1.682254e-03,1.383791e-03,1.158044e-03,7.280175e-05
17.2804,1.7280,75.431201,0.905358,1.511465e-05,1.2593,0,,3.542541e+00,8.245712e-01,4.845079e-01,3.169487e-01,2.637693e-01,2.228681e-01,1.268324e-02,1.004329e-02,7.397137e-04,6.096092e-04,5.110352e-04,2.826357e-05
17.2819,1.7282,100.000000,0.810922,1.393819e-05,1.7188,0,,3.392279e+00,6.911393e-01,3.989314e-01,2.583709e-01,2.141600e-01,1.804047e-01,9.914945e-03,7.849676e-03,5.848530e-04,4.830774e-04,4.048920e-04,1.749340e-05
17.2872,1.7287,37.275937,2.185488,8.953846e-05,1.5272,0,,4.842772e+00,3.244631e+00,2.612429e+00,2.094884e+00,1.879367e+00,1.689889e+00,1.542884e-01,1.240304e-01,9.764779e-03,8.025173e-03,6.727207e-03,4.084050e-04
